universityid,city,state,level,institution_type,specific_college_type,website
151625,Michigan City,Indiana,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,www.brownmackie.edu
151661,Indianapolis,Indiana,2-year,Private for-profit,Associates--Private For-profit,www.lincolntech.com
151777,North Manchester,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.manchester.edu
151786,Indianapolis,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.marian.edu
151801,Marion,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.indwes.edu
151810,Indianapolis,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.martin.edu
151944,South Bend,Indiana,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,www.brownmackie.edu
152080,Notre Dame,Indiana,4-year,Private not-for-profit,Research Universities--very high research activity,www.nd.edu
152099,Oakland City,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.oak.edu
152248,Hammond,Indiana,4-year,Public,Masters Colleges and Universities--larger programs,www.purduecal.edu
152266,Westville,Indiana,4-year,Public,Baccalaureate Colleges--Diverse Fields,www.pnc.edu
152318,Terre Haute,Indiana,4-year,Private not-for-profit,Schools of engineering,www.rose-hulman.edu
152336,Fort Wayne,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.sf.edu
152363,Rensselaer,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.saintjoe.edu
152381,Saint Mary of the Woods,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.smwc.edu
152390,Notre Dame,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,https:www.saintmarys.edu
152415,Hammond,Indiana,2-year,Private for-profit,Associates--Private For-profit,www.kaplancollege.comhammond-in
152530,Upland,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.taylor.edu
152567,Angola,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.trine.edu
152600,Valparaiso,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,valpo.edu
152637,Vincennes,Indiana,4-year,Public,Associates--Public 4-year Primarily Associates,vinu.edu
152673,Crawfordsville,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.wabash.edu
152798,Waterloo,Iowa,4-year,Private not-for-profit,Other health professions schools,www.allencollege.edu
152822,Des Moines,Iowa,4-year,Private not-for-profit,Schools of business and management,www.aib.edu
152992,Sioux City,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.briarcliff.edu
153001,Storm Lake,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.bvu.edu
153108,Pella,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.central.edu
153126,Dubuque,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.clarke.edu
153144,Cedar Rapids,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.coe.edu
153162,Mount Vernon,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.cornellcollege.edu
153214,Ankeny,Iowa,2-year,Public,Associates--Public Rural-serving Large,www.dmacc.edu
153241,Epworth,Iowa,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.dwci.edu
153250,Sioux Center,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.dordt.edu
153269,Des Moines,Iowa,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.drake.edu
153278,Dubuque,Iowa,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.dbq.edu
153296,Iowa Falls,Iowa,2-year,Public,Associates--Public Rural-serving Small,www.iavalley.edueccindex.html
153302,Dubuque,Iowa,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.emmaus.edu
153311,Davenport,Iowa,2-year,Public,Associates--Public Suburban-serving Multicampus,www.eicc.edu
153320,Ankeny,Iowa,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.faith.edu
153366,Lamoni,Iowa,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.graceland.edu
153375,Des Moines,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.grandview.edu
153384,Grinnell,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.grinnell.edu
153409,Mason City,Iowa,4-year,Private for-profit,Baccalaureate/Associates Colleges,masoncity.kaplanuniversity.edupageshomepage.aspx
153418,Cedar Rapids,Iowa,4-year,Private for-profit,Baccalaureate/Associates Colleges,www.kaplanuniversity.educedar-rapids-iowa.aspx
153427,Davenport,Iowa,4-year,Private for-profit,Other technology-related schools,www.hamiltontechcollege.com
153445,Waterloo,Iowa,2-year,Public,Associates--Public Rural-serving Large,www.hawkeyecollege.edu
153472,Ottumwa,Iowa,2-year,Public,Associates--Public Rural-serving Medium,www.indianhills.edu
153524,Fort Dodge,Iowa,2-year,Public,Associates--Public Rural-serving Medium,www.iowacentral.edu
153533,Estherville,Iowa,2-year,Public,Associates--Public Rural-serving Medium,www.iowalakes.edu
153603,Ames,Iowa,4-year,Public,Research Universities--very high research activity,www.iastate.edu
153621,Mount Pleasant,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.iwc.edu
153630,Council Bluffs,Iowa,2-year,Public,Associates--Public Suburban-serving Multicampus,www.iwcc.edu
153658,Iowa City,Iowa,4-year,Public,Research Universities--very high research activity,www.uiowa.edu
153737,Cedar Rapids,Iowa,2-year,Public,Associates--Public Rural-serving Large,www.kirkwood.edu
153825,Dubuque,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.loras.edu
153834,Decorah,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.luther.edu
153861,Fairfield,Iowa,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.mum.edu
153922,Marshalltown,Iowa,2-year,Public,Associates--Public Rural-serving Small,www.iavalley.edumccindex.html
153977,Des Moines,Iowa,4-year,Private not-for-profit,Other health professions schools,www.mchs.edu
154004,Sioux City,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.morningside.edu
154013,Cedar Rapids,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.mtmercy.edu
154022,Clinton,Iowa,4-year,Private for-profit,Masters Colleges and Universities--larger programs,www.ashford.edu
154059,Mason City,Iowa,2-year,Public,Associates--Public Rural-serving Medium,www.niacc.edu
154095,Cedar Falls,Iowa,4-year,Public,Masters Colleges and Universities--larger programs,www.uni.edu
154101,Orange City,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.nwciowa.edu
154110,Calmar,Iowa,2-year,Public,Associates--Public Rural-serving Medium,www.nicc.edu
154129,Sheldon,Iowa,2-year,Public,Associates--Public Rural-serving Small,www.nwicc.edu
154235,Davenport,Iowa,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.sau.edu
154262,Sioux City,Iowa,4-year,Private not-for-profit,Associates--Private Not-for-profit,www.stlukescollege.edu
154350,Indianola,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.simpson.edu
154378,West Burlington,Iowa,2-year,Public,Associates--Public Rural-serving Medium,www.scciowa.edu
154396,Creston,Iowa,2-year,Public,Associates--Public Rural-serving Small,www.swcciowa.edu
154493,Fayette,Iowa,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.uiu.edu
154518,Forest City,Iowa,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.waldorf.edu
154527,Waverly,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.wartburg.edu
154572,Sioux City,Iowa,2-year,Public,Associates--Public Rural-serving Large,www.witcc.edu
154590,Oskaloosa,Iowa,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.wmpenn.edu
154642,Iola,Kansas,2-year,Public,Associates--Public Rural-serving Medium,www.allencc.edu
154688,Baldwin City,Kansas,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.bakeru.edu
154697,Great Bend,Kansas,2-year,Public,Associates--Public Rural-serving Large,www.bartonccc.edu
154712,Atchison,Kansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.benedictine.edu
154721,Lindsborg,Kansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.bethanylb.edu
154749,North Newton,Kansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.bethelks.edu
154767,Lenexa,Kansas,4-year,Private for-profit,Associates--Private For-profit,www.brownmackie.edu
154776,Salina,Kansas,4-year,Private for-profit,Associates--Private For-profit,www.brownmackie.edu
154794,Topeka,Kansas,2-year,Private for-profit,Associates--Private For-profit,www.bryanu.edu
154800,El Dorado,Kansas,2-year,Public,Associates--Public Suburban-serving Multicampus,www.butlercc.edu
154855,McPherson,Kansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.centralchristian.edu
154907,Concordia,Kansas,2-year,Public,Associates--Public Rural-serving Medium,www.cloud.edu
154925,Coffeyville,Kansas,2-year,Public,Associates--Public Rural-serving Small,www.coffeyville.edu
154934,Colby,Kansas,2-year,Public,Associates--Public Rural-serving Medium,www.colbycc.edu
154952,Arkansas City,Kansas,2-year,Public,Associates--Public Rural-serving Medium,www.cowley.edu
154998,Dodge City,Kansas,2-year,Public,Associates--Public Rural-serving Medium,www.dc3.edu
155007,Kansas City,Kansas,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,donnelly.edu
155025,Emporia,Kansas,4-year,Public,Masters Colleges and Universities--larger programs,www.emporia.edu
155052,Emporia,Kansas,2-year,Public,Associates--Public Rural-serving Small,www.fhtc.edu
155061,Hays,Kansas,4-year,Public,Masters Colleges and Universities--larger programs,www.fhsu.edu
155070,Haviland,Kansas,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.barclaycollege.edu
155089,Wichita,Kansas,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.friends.edu
155098,Fort Scott,Kansas,2-year,Public,Associates--Public Rural-serving Medium,www.fortscott.edu
155104,Garden City,Kansas,2-year,Public,Associates--Public Rural-serving Medium,www.gcccks.edu
155140,Lawrence,Kansas,4-year,Public,Tribal Colleges,www.haskell.edu
155177,Hesston,Kansas,2-year,Private not-for-profit,Associates--Private Not-for-profit,www.hesston.edu
155186,Highland,Kansas,2-year,Public,Associates--Public Rural-serving Medium,www.highlandcc.edu
155195,Hutchinson,Kansas,2-year,Public,Associates--Public Rural-serving Large,www.hutchcc.edu
155201,Independence,Kansas,2-year,Public,Associates--Public Rural-serving Small,www.indycc.edu
155210,Overland Park,Kansas,2-year,Public,Associates--Public Suburban-serving Single Campus,www.jccc.edu
155283,Kansas City,Missouri,4-year,Private for-profit,Associates--Private For-profit,www.concorde.edu
155292,Kansas City,Kansas,2-year,Public,Associates--Public Urban-serving Single Campus,www.kckcc.edu
155317,Lawrence,Kansas,4-year,Public,Research Universities--very high research activity,www.ku.edu
155335,Wichita,Kansas,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.newmanu.edu
155399,Manhattan,Kansas,4-year,Public,Research Universities--high research activity,www.k-state.edu
155414,Salina,Kansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.kwu.edu
155450,Parsons,Kansas,2-year,Public,Associates--Public Rural-serving Medium,www.labette.edu
155487,Manhattan,Kansas,2-year,Public,Associates--Public Rural-serving Small,www.manhattantech.edu
155496,Manhattan,Kansas,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.mccks.edu
155511,McPherson,Kansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.mcpherson.edu
155520,Olathe,Kansas,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.mnu.edu
155566,Chanute,Kansas,2-year,Public,Associates--Public Rural-serving Medium,www.neosho.edu
155593,Beloit,Kansas,2-year,Public,Associates--Public Rural-serving Small,www.ncktc.edu
155618,Goodland,Kansas,2-year,Public,Associates--Public Rural-serving Small,www.nwktc.edu
155627,Ottawa,Kansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.ottawa.edu
155681,Pittsburg,Kansas,4-year,Public,Masters Colleges and Universities--larger programs,www.pittstate.edu
155715,Pratt,Kansas,2-year,Public,Associates--Public Rural-serving Small,www.prattcc.edu
155812,Leavenworth,Kansas,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.stmary.edu
155830,Salina,Kansas,2-year,Public,Associates--Public Rural-serving Small,www.salinatech.edu
155858,Liberal,Kansas,2-year,Public,Associates--Public Rural-serving Small,www.sccc.edu
155900,Winfield,Kansas,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.sckans.edu
155937,Sterling,Kansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.sterling.edu
155973,Hillsboro,Kansas,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.tabor.edu
156082,Topeka,Kansas,4-year,Public,Masters Colleges and Universities--medium programs,www.washburn.edu
156107,Wichita,Kansas,2-year,Public,Associates--Public Urban-serving Multicampus,www.watc.edu
156125,Wichita,Kansas,4-year,Public,Research Universities--high research activity,www.wichita.edu
156189,Pippa Passes,Kentucky,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.alc.edu
156213,Wilmore,Kentucky,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.asbury.edu
156231,Ashland,Kentucky,2-year,Public,Associates--Public Rural-serving Medium,www.ashland.kctcs.edu
156286,Louisville,Kentucky,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.bellarmine.edu
156295,Berea,Kentucky,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.berea.edu
156338,Bowling Green,Kentucky,2-year,Public,Associates--Public Rural-serving Medium,www.bowlinggreen.kctcs.edu
156356,Owensboro,Kentucky,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.brescia.edu
156365,Campbellsville,Kentucky,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.campbellsville.edu
156392,Lexington,Kentucky,2-year,Public,Associates--Public Rural-serving Large,www.bluegrass.kctcs.edu
156408,Danville,Kentucky,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.centre.edu
156417,Pineville,Kentucky,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.ccbbc.edu
156471,Louisville,Kentucky,2-year,Private for-profit,Associates--Private For-profit,www.galencollege.edulouisville
156541,Williamsburg,Kentucky,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.ucumberlands.edu
