university_id,state,student count,awards_per_value,awards_per_state_value,fte_value
153922,Iowa,2101,25.3,21.1,1317
153977,Iowa,831,39.7,25,804
154004,Iowa,1305,20.3,25,1203
154013,Iowa,1476,33.5,25,1219
154022,Iowa,50895,18.5,17.3,63888
154059,Iowa,3207,29.5,21.1,2235
154095,Iowa,10380,22.7,21.2,9694
154101,Iowa,1233,20,25,1205
154110,Iowa,5201,23.9,21.1,3365
154129,Iowa,1628,33.8,21.1,1112
154235,Iowa,2743,26.1,25,2392
154262,Iowa,184,51.3,25,167
154350,Iowa,1712,23.8,25,1825
154378,Iowa,3225,26.8,21.1,2251
154396,Iowa,1573,27.8,21.1,1149
154493,Iowa,4632,29.2,25,4826
154518,Iowa,1150,22.9,17.3,762
154527,Iowa,1714,21,25,1812
154572,Iowa,6331,24.7,21.1,3544
154590,Iowa,1728,27.1,25,1564
154642,Kansas,2852,14.2,19.3,2089
154688,Kansas,1897,34.2,23.9,1746
154697,Kansas,5210,15.7,19.3,4108
154712,Kansas,2113,17.7,23.9,1878
154721,Kansas,665,17.9,23.9,567
154749,Kansas,482,20.9,23.9,460
154767,Kansas,486,42.2,28.4,513
154776,Kansas,508,40.8,28.4,505
154794,Kansas,88,22.8,41.8,154
154800,Kansas,9142,17.8,19.3,6676
154855,Kansas,1037,14.3,23.9,854
154907,Kansas,2318,16.4,19.3,1612
154925,Kansas,1866,22.4,19.3,1315
154934,Kansas,1402,30.6,19.3,1065
154952,Kansas,3888,18.9,19.3,3173
154998,Kansas,1785,18.2,19.3,1398
155007,Kansas,474,15.1,23.9,297
155025,Kansas,3873,20.1,22.3,3392
155052,Kansas,834,50.8,19.3,610
155061,Kansas,11433,34.7,22.3,7574
155070,Kansas,234,21.1,23.9,223
155089,Kansas,1609,34.6,23.9,1478
155098,Kansas,1931,20.3,19.3,1515
155104,Kansas,1997,20.6,19.3,1489
155140,Kansas,742,23.8,22.3,729
155177,Kansas,445,34.4,34.4,409
155186,Kansas,3226,16.8,19.3,2148
155195,Kansas,6127,21.3,19.3,4174
155201,Kansas,1031,13.6,19.3,896
155210,Kansas,19672,14.3,19.3,11976
155283,Missouri,783,18.2,32,1217
155292,Kansas,6570,17.7,19.3,4718
155317,Kansas,19217,22.3,22.3,18346
155335,Kansas,2795,20.2,23.9,1571
155399,Kansas,20169,19.9,22.3,18225
155414,Kansas,684,22.2,23.9,694
155450,Kansas,1959,18.1,19.3,1256
155487,Kansas,825,36,19.3,629
155496,Kansas,327,21.9,23.9,279
155511,Kansas,637,22.3,23.9,613
155520,Kansas,1438,30.4,23.9,1593
155566,Kansas,2667,26.2,19.3,1635
155593,Kansas,844,44.2,19.3,672
155618,Kansas,626,41.5,19.3,541
155627,Kansas,538,18,23.9,535
155681,Kansas,6236,19.5,22.3,6041
155715,Kansas,1541,30.1,19.3,1130
155812,Kansas,890,22.7,23.9,736
155830,Kansas,447,36,19.3,412
155858,Kansas,1857,25.1,19.3,1326
155900,Kansas,1358,37.3,23.9,1276
155937,Kansas,690,20.3,23.9,600
155973,Kansas,725,21.5,23.9,683
156082,Kansas,6179,21.8,22.3,4786
156107,Kansas,2934,21.6,19.3,2220
156125,Kansas,11670,20.2,22.3,9961
156189,Kentucky,631,14.9,20.4,569
156213,Kentucky,1547,21.1,20.4,1415
156231,Kentucky,3359,21.1,18.5,2482
156286,Kentucky,2593,20.3,20.4,2684
156295,Kentucky,1623,17.7,20.4,1623
156338,Kentucky,4758,19.5,18.5,2794
156356,Kentucky,928,16.2,20.4,673
156365,Kentucky,3048,14.9,20.4,2485
156392,Kentucky,12365,17.9,18.5,8560
156408,Kentucky,1381,22.1,20.4,1350
156417,Kentucky,152,24.6,20.4,123
