universityid,level,institution_type,specific_college_type
162654,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
162681,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
162690,2-year,Public,Associates--Public Rural-serving Medium
162706,2-year,Public,Associates--Public Suburban-serving Single Campus
162760,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
162779,2-year,Public,Associates--Public Suburban-serving Single Campus
162928,4-year,Private not-for-profit,Research Universities--very high research activity
163028,2-year,Private for-profit,Associates--Private For-profit
163046,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
163204,4-year,Public,Masters Colleges and Universities--larger programs
163268,4-year,Public,Research Universities--high research activity
163286,4-year,Public,Research Universities--very high research activity
163295,4-year,Private not-for-profit,Schools of art- music- and design
163338,4-year,Public,Masters Colleges and Universities--smaller programs
163426,2-year,Public,Associates--Public Suburban-serving Multicampus
163453,4-year,Public,Doctoral/Research Universities
163462,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
163532,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
163578,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
163657,2-year,Public,Associates--Public Suburban-serving Single Campus
163736,2-year,Private for-profit,Associates--Private For-profit
163851,4-year,Public,Masters Colleges and Universities--larger programs
163912,4-year,Public,Baccalaureate Colleges--Arts & Sciences
163921,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
163976,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
164058,2-year,Private for-profit,Associates--Private For-profit
164076,4-year,Public,Masters Colleges and Universities--larger programs
164173,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
164216,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
164270,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
164313,2-year,Public,Associates--Public Rural-serving Medium
164447,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
164465,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
164492,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
164562,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
164580,4-year,Private not-for-profit,Schools of business and management
164614,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
164632,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
164641,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
164720,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
164739,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
164748,4-year,Private not-for-profit,Schools of art- music- and design
164775,2-year,Public,Associates--Public Rural-serving Medium
164872,4-year,Private not-for-profit,Schools of art- music- and design
164924,4-year,Private not-for-profit,Research Universities--high research activity
164933,4-year,Private not-for-profit,Schools of art- music- and design
164988,4-year,Private not-for-profit,Research Universities--very high research activity
165015,4-year,Private not-for-profit,Research Universities--very high research activity
165024,4-year,Public,Masters Colleges and Universities--larger programs
165033,2-year,Public,Associates--Public Urban-serving Multicampus
165112,2-year,Public,Associates--Public Urban-serving Multicampus
165167,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
165194,2-year,Public,Associates--Public Rural-serving Medium
165264,4-year,Private not-for-profit,Associates--Private Not-for-profit
165334,4-year,Private not-for-profit,Research Universities--high research activity
165529,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
165574,4-year,Private not-for-profit,Associates--Private Not-for-profit 4-year Primarily Associates
165644,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
165662,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
165671,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
165699,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
165802,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
165820,4-year,Public,Masters Colleges and Universities--larger programs
165866,4-year,Public,Masters Colleges and Universities--larger programs
165884,4-year,Private not-for-profit,Other technology-related schools
165936,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
165981,2-year,Public,Associates--Public Suburban-serving Single Campus
166018,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
166027,4-year,Private not-for-profit,Research Universities--very high research activity
166124,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
166133,2-year,Public,Associates--Public Suburban-serving Single Campus
166391,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
166407,2-year,Private not-for-profit,Associates--Private Not-for-profit
166452,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
166513,4-year,Public,Research Universities--high research activity
166601,4-year,Private not-for-profit,Associates--Private Not-for-profit
166629,4-year,Public,Research Universities--very high research activity
166638,4-year,Public,Research Universities--high research activity
166647,2-year,Public,Associates--Public Suburban-serving Multicampus
166656,4-year,Private not-for-profit,Other health professions schools
166674,4-year,Public,Schools of art- music- and design
166683,4-year,Private not-for-profit,Research Universities--very high research activity
166692,4-year,Public,Baccalaureate Colleges--Diverse Fields
166823,2-year,Public,Associates--Public Rural-serving Large
166850,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
166887,2-year,Public,Associates--Public Suburban-serving Multicampus
166911,4-year,Private not-for-profit,Schools of art- music- and design
166939,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
166948,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
166957,2-year,Public,Associates--Public Rural-serving Medium
166984,4-year,Private not-for-profit,Schools of art- music- and design
167057,4-year,Private not-for-profit,Schools of art- music- and design
167251,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
167260,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
167288,4-year,Public,Baccalaureate Colleges--Arts & Sciences
167312,2-year,Public,Associates--Public Suburban-serving Multicampus
167321,4-year,Private for-profit,Schools of art- music- and design
167358,4-year,Private not-for-profit,Research Universities--high research activity
167376,2-year,Public,Associates--Public Suburban-serving Multicampus
167394,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
167455,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
167525,2-year,Public,Associates--Public Suburban-serving Multicampus
167534,2-year,Public,Associates--Public Urban-serving Single Campus
167598,4-year,Private not-for-profit,Other health professions schools
167631,2-year,Public,Associates--Public Suburban-serving Multicampus
167729,4-year,Public,Masters Colleges and Universities--larger programs
167738,2-year,Private for-profit,Associates--Private For-profit
167783,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
167792,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
167835,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
167899,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
167905,2-year,Public,Associates--Public Urban-serving Single Campus
167987,4-year,Public,Masters Colleges and Universities--larger programs
167996,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
168005,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
168148,4-year,Private not-for-profit,Research Universities--very high research activity
168218,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
168227,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
168254,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
168263,4-year,Public,Masters Colleges and Universities--medium programs
168281,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
168290,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
168342,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
168421,4-year,Private not-for-profit,Doctoral/Research Universities
168430,4-year,Public,Masters Colleges and Universities--medium programs
168528,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
168546,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
168591,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
168607,2-year,Public,Associates--Public Rural-serving Medium
168740,4-year,Private not-for-profit,Doctoral/Research Universities
168786,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
168838,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
168847,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
168883,2-year,Public,Associates--Public Rural-serving Medium
169080,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
169248,4-year,Public,Doctoral/Research Universities
169275,2-year,Public,Associates--Public Rural-serving Large
169327,4-year,Private not-for-profit,Schools of business and management
